english_symptom,indonesia_symptom
knee lump or mass,Benjol atau Massa Lutut
knee pain,Nyeri Lutut
knee stiffness or tightness,Kekakuan atau Ketegangan Lutut
knee swelling,Pembengkakan Lutut
knee weakness,Kelemahan Lutut

lack of growth,Kurangnya Pertumbuhan
lacrimation,Mengeluarkan Air Mata
laryngitis,Laringitis
leg cramps or spasms,Kram atau Spasme Kaki
leg lump or mass,Benjol atau Massa Kaki
leg pain,Nyeri Kaki
leg stiffness or tightness,Kekakuan atau Ketegangan Kaki
leg swelling,Pembengkakan Kaki
leg weakness,Kelemahan Kaki
lesion on skin,Lesi pada Kulit
light sensitivity,Sensitivitas Cahaya
lip soreness,Sakit pada Bibir
lip swelling,Pembengkakan Bibir
loss of sensation,Kehilangan Sensasi
loss of sex drive,Kehilangan Gairah Seksual
loss of taste,Kehilangan Rasa
loss of voice,Kehilangan Suara
low back cramps or spasms,Kram atau Spasme Punggung Bawah
low back pain,Nyeri Punggung Bawah
low back stiffness or tightness,Kekakuan atau Ketegangan Punggung Bawah
low back swelling,Pembengkakan Punggung Bawah
low back weakness,Kelemahan Punggung Bawah
low self-esteem,Harga Diri Rendah
low urine output,Keluaran Urin Rendah
lower abdominal pain,Nyeri Perut Bawah
lower body pain,Nyeri Bagian Bawah Tubuh
lump in throat,Benjol di Tenggorokan
lump or mass of breast,Benjol atau Massa Payudara
lump over jaw,Benjol di Atas Rahang
lumps on skin,Benjol pada Kulit
lymphedema,Limfedema

major depression,Depresi Mayor
mass in scrotum,Massa di Skrotum
mass on ear,Massa di Telinga
mass on eyelid,Massa di Kelopak Mata
mass on vulva,Massa pada Vulva
medical symptoms,Gejala Medis
melena,Melena (Tinja Hitam)
memory problems,Masalah Memori
menopause symptoms,Gejala Menopause
menstrual bleeding heavy,Perdarahan Menstruasi Berat
menstrual flow scanty,Aliran Menstruasi Sedikit
menstrual periods painful,Menstruasi Sakit
menstruation frequent,Menstruasi Sering
menstruation infrequent,Menstruasi Jarang
menstruation irregular,Menstruasi Tidak Teratur
menstruation prolonged,Menstruasi Berkepanjangan
mental health problems,Masalah Kesehatan Mental
metrorrhagia,Metrorrhagia (Perdarahan Rahim Abnormal)
missed period,Periode Terlambat
moles on skin,Tahi Lalat pada Kulit
mouth dryness,Mulut Kering
mouth pain,Nyeri Mulut
mouth ulcer,Ulkus Mulut
movement problems,Masalah Gerakan
muscle cramps contractures or spasms,Kram Otot atau Spasme
muscle pain,Nyeri Otot
muscle stiffness or tightness,Kekakuan atau Ketegangan Otot
muscle swelling,Pembengkakan Otot
muscle weakness,Kelemahan Otot
muscular pain,Nyeri Otot
myopia,Miopia (Rabun Jauh)

nail biting,Menggigit Kuku
nailbiting,Menggigit Kuku
nasal congestion,Hidung Tersumbat
nasal polyp,Polip Hidung
nausea,Mual
neck cramps or spasms,Kram atau Spasme Leher
neck mass,Massa di Leher
neck pain,Nyeri Leher
neck stiffness or tightness,Kekakuan atau Ketegangan Leher
neck swelling,Pembengkakan Leher
neck weakness,Kelemahan Leher
nosebleed,Mimisan
neurological problems,Masalah Neurologis
nightmares,Mimpi Buruk
no appetite,Tidak Ada Nafsu Makan
numbness,Mati Rasa
numbness of extremities,Mati Rasa pada Anggota Gerak

obesity,Obesitas
obsessions and compulsions,Obsesi dan Kompulsi
occipital headache,Sakit Kepala Oksipital
odor to urine unusual color,Urin Berbau Tidak Biasa atau Warna Tidak Biasa
oily skin,Kulit Berminyak
ongoing cough,Batuk Berkelanjutan
open sore on skin,Luka Terbuka pada Kulit
organ enlargement,Pembesaran Organ
organ specific problems,Masalah Spesifik Organ
osteoporosis,Osteoporosis
overweight,Kelebihan Berat Badan

painful intercourse,Hubungan Seksual Menyakitkan
painful menstruation,Menstruasi Menyakitkan
painful sinuses,Sinus Menyakitkan
painful urination,Kencing Menyakitkan
pain all over,Nyeri di Seluruh Tubuh
pain during intercourse,Nyeri Selama Hubungan Seksual
pain during pregnancy,Nyeri Selama Kehamilan
pain of anus,Nyeri Anus
pain or soreness of breast,Nyeri atau Sakit Payudara
pain in eye,Nyeri Mata
pain in gums,Nyeri Gusi
pain in testicles,Nyeri Testis
pallor,Pucat
palpitations,Palpitasi (Detak Jantung Terasa)
panic attacks,Serangan Panik
paresthesia,Parestesia
patchy skin,Kulit Berbintik-bintik
pelvic inflammatory disease,Penyakit Radang Panggul
pelvic pain,Nyeri Panggul
pelvic pressure,Tekanan Panggul
pelvis pain,Nyeri Panggul
penile discharge,Keluaran Penis
penis pain,Nyeri Penis
penis redness,Kemerahan Penis
peripheral edema,Edema Perifer
perspiration excessive,Perspirasi Berlebih
petechiae,Petekie (Bintik Merah pada Kulit)
phlebitis,Flebitis
photophobia,Fotofobia (Takut Cahaya)
pins and needles,Kesemutan
placental insufficiency,Insufisiensi Plasenta
plague,Plague
plantar fasciitis,Plantar Fasitis
plugged feeling in ear,Sensasi Telinga Tersumbat
poor circulation,Sirkulasi Buruk
poor healing,Penyembuhan Lambat
posture problems,Masalah Postur
postpartum problems,Masalah Postpartum
postpartum problems of breast,Masalah Postpartum Payudara
postpartum problems of uterus,Masalah Postpartum Rahim
premature ejaculation,Ejakulasi Dini
premenstrual syndrome,Sindrom Pramenstruasi
premenstrual tension or irritability,Ketegangan atau Iritabilitas Pra-menstruasi
problems during pregnancy,Masalah Selama Kehamilan
problems with movement,Masalah dengan Pergerakan
problems with orgasm,Masalah dengan Orgasme
problems with shape or size of breast,Masalah dengan Bentuk atau Ukuran Payudara
prolapse,Prolaps
prostatic problems,Masalah Prostat
proteinuria,Proteinuria
psychological problems,Masalah Psikologis
psychosis,Psikosis
ptosis,Ptosis
puffiness around eyes,Bengkak di Sekitar Mata
pulling at ears,Menarik Telinga
pulsating sensation,Sensasi Berdenyut
pus draining from ear,Nanah Mengalir dari Telinga
pus in sputum,Nanah dalam Dahak
pus in urine,Nanah dalam Urin
pustule,Pustula

recent pregnancy,Kehamilan Baru-baru Ini
recent weight loss,Penurunan Berat Badan Baru-baru Ini
rectal bleeding,Perdarahan Rektal
recurrent fever,Demam Berulang
redness in ear,Kemerahan di Telinga
redness in or around nose,Kemerahan di atau Sekitar Hidung
redness of eye,Kemerahan Mata
regurgitation,Regurgitasi (Makanan Kembali Naik)
regular menstruation,Menstruasi Teratur
regurgitation,Regurgitasi
restlessness,Kegelisahan
retention of urine,Retensi Urin
retinal abnormalities,Kelainan Retina
rheumatoid arthritis,Artritis Reumatoid
rib pain,Nyeri Rusuk
ringing in ear,Telinga Berdenging
ringing in the ear,Telinga Berdenging

sadness,Kesedihan
salty discharge from eye,Keluaran Asin dari Mata
scanty menstrual flow,Aliran Menstruasi Sedikit
scarring,Parut
seizures,Kejang
self harm behavior,Perilaku Melukai Diri
sensations swallowing,Sensasi Menelan
sensitivity to light,Kepekaan terhadap Cahaya
severe abdominal pain,Nyeri Perut Parah
severe burning pain,Nyeri Terbakar Parah
severe fatigue,Kelelahan Parah
severe headache,Sakit Kepala Parah
severe nausea,Mual Parah
severe pelvic pain,Nyeri Panggul Parah
severe vomiting,Muntah Parah
severe weakness,Kelemahan Parah
severe chest pain,Nyeri Dada Parah
severity of symptoms,Keparahan Gejala
sexual dysfunction,Disfungsi Seksual
sharp abdominal pain,Nyeri Perut Tajam
sharp chest pain,Nyeri Dada Tajam
sharp pain,Nyeri Tajam
shiny skin,Kulit Berkilau
shoulder cramps or spasms,Kram atau Spasme Bahu
shoulder lump or mass,Benjol atau Massa Bahu
shoulder pain,Nyeri Bahu
shoulder stiffness or tightness,Kekakuan atau Ketegangan Bahu
shoulder swelling,Pembengkakan Bahu
shoulder weakness,Kelemahan Bahu
shortness of breath,Sesak Napas
shouting,Teriak-teriak
side pain,Nyeri Samping
sinus congestion,Hidung Tersumbat/Kongesti Sinus
sinus pressure,Tekanan Sinus
sinusitis,Sinusitis
skin allergy,Alergi Kulit
skin appearance problems,Masalah Penampilan Kulit
skin breakdown,Kerusakan Kulit
skin color problems,Masalah Warna Kulit
skin color changes,Perubahan Warna Kulit
skin darkening,Penggelapan Kulit
skin discoloration,Perubahan Warna Kulit
skin dryness peeling scaliness roughness,Kekeringan Kulit
skin growth,Pertumbuhan Kulit
skin infection appearance,Penampilan Infeksi Kulit
skin infection on arm hand,Infeksi Kulit pada Lengan atau Tangan
skin infection on head neck,Infeksi Kulit di Kepala atau Leher
skin infection on leg foot,Infeksi Kulit pada Kaki atau Telapak Kaki
skin infection problems,Masalah Infeksi Kulit
skin irritation,Iritasi Kulit
skin lesion,Lesi Kulit
skin lump,Benjol pada Kulit
skin moles,Tahi Lalat pada Kulit
skin nodules,Nodul Kulit
skin oiliness,Kulit Berminyak
skin on arm hand looks infected,Kulit pada Lengan atau Tangan Terlihat Terinfeksi
skin on head neck looks infected,Kulit di Kepala atau Leher Terlihat Terinfeksi
skin on leg foot looks infected,Kulit pada Kaki atau Telapak Kaki Terlihat Terinfeksi
skin pain,Nyeri Kulit
skin problems,Masalah Kulit
skin pustules,Pustula pada Kulit
skin rash,Ruam Kulit
skin redness,Kemerahan Kulit
skin scaling,Pengelupasan Kulit
skin sensitivity,Sensitivitas Kulit
skin swelling,Pembengkakan Kulit
skin tags,Tag Kulit
skin texture changes,Perubahan Tekstur Kulit
skin thickening,Penebalan Kulit
skin ulceration,Ulserasi Kulit
skin whitening,Pemutihan Kulit
skin wrinkles,Kerutan Kulit
sleepiness,Kantuk
sleepwalking,Berjalan Sambil Tidur
slurring words,Berbicara Cadel
small breasts,Payudara Kecil
smallpox,Cacar Air
sneezing,Bersin
snowflake cataracts,Katarak Bintik Salju
social withdrawal,Penarikan Diri Sosial
sore in nose,Luka di Hidung
sore in throat,Luka di Tenggorokan
sore throat,Sakit Tenggorokan
soreness or pain in breast,Sakit atau Nyeri Payudara
spasm,Spasme
speech problem,Masalah Berbicara
sputum,Dahak
stiffness all over,Kekakuan di Seluruh Tubuh
stiffness of joint,Kekakuan Sendi
stool appearance changes,Perubahan Penampilan Tinja
stool appearance unusual,Penampilan Tinja Tidak Biasa
stool color changes,Perubahan Warna Tinja
stool color dark,Warna Tinja Gelap
storage and stiffness,Penyimpanan dan Kekakuan
storage disorders,Gangguan Penyimpanan
stomach bloating,Perut Kembung
stomach pain,Nyeri Perut
stomach upset,Perut Bermasalah
stomachache,Sakit Perut
storage symptoms,Gejala Penyimpanan
storing symptoms,Gejala Penyimpanan
strabismus,Strabismus (Mata Juling)
straining to defecate,Mengedan saat Buang Air Besar
stress,Stres
stress incontinence,Inkontinensia Stres
strictures,Striktur
stuttering or stammering,Gagap
style problems,Masalah Gaya
subconjunctival hemorrhage,Perdarahan Subkonjungtiva
subarachnoid hemorrhage,Perdarahan Subaraknoid
subdural hematoma,Hematoma Subdural
submission,Penyerahan
substance abuse,Penyalahgunaan Zat
substance withdrawal,Penarikan Zat
sunken eyes,Mata Cekung
suntan,Penyamakan Matahari
suprapubic pain,Nyeri Suprapubik
surface appearance of skin,Penampilan Permukaan Kulit
swallowing difficulty,Kesulitan Menelan
sweating,Berkeringat
swelling abdomen,Perut Membengkak
swelling of abdomen,Pembengkakan Perut
swelling of ankle,Pembengkakan Pergelangan Kaki
swelling of eye,Pembengkakan Mata
swelling of face,Pembengkakan Wajah
swelling of gums,Pembengkakan Gusi
swelling of jaw,Pembengkakan Rahang
swelling of joint,Pembengkakan Sendi
swelling of leg,Pembengkakan Kaki
swelling of lips,Pembengkakan Bibir
swelling of lymph nodes,Pembengkakan Kelenjar Getah Bening
swelling of scrotum,Pembengkakan Skrotum
swelling of throat,Pembengkakan Tenggorokan
swelling of tongue,Pembengkakan Lidah
swollen lymph nodes,Kelenjar Getah Bening Membengkak
swollen or red tonsils,Amandel Membengkak atau Merah
swollen tongue,Lidah Membengkak
swollen eye,Mata Membengkak
symptoms of bladder,Gejala Kandung Kemih
symptoms of eye,Gejala Mata
symptoms of face,Gejala Wajah
symptoms of infants,Gejala Bayi
symptoms of kidneys,Gejala Ginjal
symptoms of prostate,Gejala Prostat
symptoms of scrotum testes,Gejala Skrotum dan Testis
symptoms of the kidneys,Gejala Ginjal
syndrome,Sindrom
syphilis,Sifilis

temper problems,Masalah Temper
temperature regulation,Regulasi Suhu
temporal headache,Sakit Kepala Temporal
tendonitis,Tendinitis
tension headache,Sakit Kepala Tegang
testicles pain,Nyeri Testis
testicular pain,Nyeri Testis
testicular torsion,Torsi Testis
tetanus,Tetanus
texture changes on skin,Perubahan Tekstur pada Kulit
thickening of skin,Penebalan Kulit
thigh pain,Nyeri Paha
thighs pain,Nyeri Paha
thinking problems,Masalah Berpikir
thirst,Haus
thirst excessive,Haus Berlebih
thoracic pain,Nyeri Toraks
throat feel tight,Tenggorokan Terasa Ketat
throat irritation,Iritasi Tenggorokan
throat pain,Nyeri Tenggorokan
throat problems,Masalah Tenggorokan
throat redness,Kemerahan Tenggorokan
throat swelling,Pembengkakan Tenggorokan
thrombophlebitis,Tromboflebitis
thrombus,Trombus
thrust,Oral Thrush
thrush,Sariawan
tidal volume,Volume Pasang Surut
tinea versicolor,Tinea Versicolor
tinnitus,Tinitus (Telinga Berdenging)
tiredness,Kelelahan
toe cramps or spasms,Kram atau Spasme Jari Kaki
toe nail problems,Masalah Kuku Jari Kaki
toe pain,Nyeri Jari Kaki
toe stiffness or tightness,Kekakuan atau Ketegangan Jari Kaki
toe swelling,Pembengkakan Jari Kaki
toe weakness,Kelemahan Jari Kaki
toenail problems,Masalah Kuku Jari Kaki
tofu,Tofu
tongue bleeding,Perdarahan Lidah
tongue color problems,Masalah Warna Lidah
tongue discoloration,Perubahan Warna Lidah
tongue enlargement,Pembesaran Lidah
tongue lesions,Lesi Lidah
tongue pain,Nyeri Lidah
tongue problems,Masalah Lidah
tongue size abnormalities,Kelainan Ukuran Lidah
tongue swelling,Pembengkakan Lidah
toothache,Sakit Gigi
torticollis,Tortikollis (Leher Terkilir)
toxemia,Toksemia
toxic megacolon,Megakolon Toksik
toxic shock syndrome,Sindrom Syok Toksik
toxicity,Toksisitas
tracheal problems,Masalah Trakea
tracheitis,Trakeitis
tremor,Tremor
tricuspid regurgitation,Regurgitasi Trikuspid
trigeminal neuralgia,Trigeminal Neuralgia
trichomonas,Trikomonas
trophic changes,Perubahan Trofik
tropical sprue,Sprue Tropis
trunk pain,Nyeri Batang Tubuh
truncal rash,Ruam di Batang Tubuh
truncal weakness,Kelemahan Batang Tubuh
tuberculosis,Tuberkulosis
tubular breathing,Napas Tubular
tumors,Tumor
typhoid,Tifoid
typhus,Tifus

ulcer stomach,Tukak Lambung
ulcerated area,Area Berulser
ulcerative colitis,Kolitis Ulseratif
ulcers mouth,Ulkus Mulut
ulcers on skin,Ulkus pada Kulit
ulcus,Ulkus
ultrasound,Ultrasonografi
umbilical hernia,Hernia Umbilikal
umbilical problems,Masalah Umbilikal
unable to void,Tidak Dapat Kencing
unequal pupils,Pupil Tidak Sama
unexplained weight gain,Pertambahan Berat Badan Tidak Dapat Dijelaskan
unexplained weight loss,Penurunan Berat Badan Tidak Dapat Dijelaskan
unexpected vaginal bleeding,Perdarahan Vagina Tidak Terduga
unilateral leg swelling,Pembengkakan Kaki Unilateral
unpleasant foot odor,Bau Kaki Tidak Menyenangkan
unpredictable menstruation,Menstruasi Tidak Dapat Diprediksi
unusual discharge from eye,Keluaran Tidak Biasa dari Mata
unusual odor color to urine,Urin Berbau atau Berwarna Tidak Biasa
unusual skin sensation,Sensasi Kulit Tidak Biasa
upper abdominal pain,Nyeri Perut Bagian Atas
upper back pain,Nyeri Punggung Bagian Atas
upper body pain,Nyeri Bagian Atas Tubuh
upper respiratory infection,Infeksi Saluran Pernapasan Atas
upper urinary tract infection,Infeksi Saluran Kemih Atas
ureteral stent problems,Masalah Stent Ureter
urethritis,Uretritis
urge incontinence,Inkontinensia Urge
urinary frequency,Frekuensi Kemih
urinary hesitancy,Keraguan Buang Air Kecil
urinary incontinence,Inkontinensia Urin
urinary retention,Retensi Urin
urinary tract disorder,Gangguan Saluran Kemih
urinary tract infection,Infeksi Saluran Kemih
urine color problems,Masalah Warna Urin
urine color unusual,Warna Urin Tidak Biasa
urine concentration changes,Perubahan Konsentrasi Urin
urine odor unusual,Urin Berbau Tidak Biasa
urine problems,Masalah Urin
urticaria,Urtikaria (Biduran)
uterine bleeding,Perdarahan Rahim
uterine contractions,Kontraksi Rahim
uterine fibroids,Fibroid Rahim
uterine problems,Masalah Rahim
uterine prolapse,Prolaps Rahim
uterus problems,Masalah Rahim
uvea problems,Masalah Uvea
uveal inflammation,Peradangan Uvea
uveitis,Uveitis

vaginal bleeding after menopause,Perdarahan Vagina Setelah Menopause
vaginal bleeding during pregnancy,Perdarahan Vagina Selama Kehamilan
vaginal dryness,Kekeringan Vagina
vaginal infection,Infeksi Vagina
vaginal irritation,Iritasi Vagina
vaginal itching,Gatal Vagina
vaginal pain,Nyeri Vagina
vaginal problems,Masalah Vagina
vaginal redness,Kemerahan Vagina
vaginal spotting,Bercak Vagina
varicella,Varisela (Cacar Air)
varicose veins,Varises
varicocele,Varikokel
vascular problems,Masalah Vaskular
vasculitis,Vaskulitis
vasovagal syncope,Sinkop Vasovagal
vesical problems,Masalah Vesika
vesiculo pustular eruption,Erupsi Vesikulopustular
vision problems,Masalah Penglihatan
vision blurred,Penglihatan Kabur
vision changes,Perubahan Penglihatan
vision disturbance,Gangguan Penglihatan
vision double,Penglihatan Ganda
vision loss,Kehilangan Penglihatan
vision spots,Bintik dalam Penglihatan
vision spots or clouds,Bintik atau Awan dalam Penglihatan
visiting healer,Mengunjungi Penyembuh
vital signs abnormal,Tanda Vital Abnormal
vitiligo,Vitiligo (Putih Kulit)
vocal cord problems,Masalah Pita Suara
vocal cord paralysis,Kelumpuhan Pita Suara
voice changes,Perubahan Suara
voice hoarseness,Suara Serak
voice loss,Kehilangan Suara
voice problems,Masalah Suara
vomiting,Muntah
vomiting blood,Muntah Darah
vomiting during pregnancy,Muntah Selama Kehamilan
vomiting reflex,Refleks Muntah
vulvar itching,Gatal Vulva
vulvar irritation,Iritasi Vulva
vulvar pain,Nyeri Vulva
vulvar redness,Kemerahan Vulva
vulvar sore,Luka Vulva
vulvitis,Vulvitis

waking at night,Terbangun di Malam Hari
walking difficulty,Kesulitan Berjalan
warts,Kutil
water retention,Retensi Air
watery diarrhea,Diare Berair
watery eyes,Mata Berair
weakness,Kelemahan
weakness all over,Kelemahan di Seluruh Tubuh
weakness focal,Kelemahan Terfokus
weakness generalized,Kelemahan Umum
weakness in extremities,Kelemahan pada Anggota Gerak
weakness localized,Kelemahan Lokal
weakness of arms,Kelemahan Lengan
weakness of legs,Kelemahan Kaki
weakness on one side,Kelemahan di Satu Sisi
wear and tear,Keausan
weather sensitivity,Sensitivitas Cuaca
weight fluctuation,Fluktuasi Berat Badan
weight gain,Pertambahan Berat Badan
weight gain excessive,Pertambahan Berat Badan Berlebih
weight gain problem,Masalah Pertambahan Berat Badan
weight loss,Penurunan Berat Badan
weight loss recent,Penurunan Berat Badan Baru-baru Ini
weight loss unexplained,Penurunan Berat Badan Tidak Dapat Dijelaskan
weight or appetite changes,Perubahan Berat Badan atau Nafsu Makan
weight problems,Masalah Berat Badan
welts,Bekas Goresan
wheezing,Mengi
white discharge from eye,Keluaran Putih dari Mata
white patches on skin,Bintik Putih pada Kulit
white spots in mouth,Bintik Putih di Mulut
whitening of skin,Pemutihan Kulit
whooping cough,Batuk Rejan
wrinkles,Kerutan
wrist cramps or spasms,Kram atau Spasme Pergelangan Tangan
wrist lump or mass,Benjol atau Massa Pergelangan Tangan
wrist pain,Nyeri Pergelangan Tangan
wrist stiffness or tightness,Kekakuan atau Ketegangan Pergelangan Tangan
wrist swelling,Pembengkakan Pergelangan Tangan
wrist weakness,Kelemahan Pergelangan Tangan
